020209	Santa Rita	0202	Antón	02	Coclé	Provincia	8.49249	-80.19292	2830
020210	Caballero	0202	Antón	02	Coclé	Provincia	8.53467	-80.20250	4136
020301	La Pintada	0203	La Pintada	02	Coclé	Provincia	8.58097	-80.45523	4497
020302	El Harino	0203	La Pintada	02	Coclé	Provincia	8.69137	-80.62096	5752
020303	El Potrero	0203	La Pintada	02	Coclé	Provincia	8.54417	-80.51440	3450
020304	Llano Grande	0203	La Pintada	02	Coclé	Provincia	8.66370	-80.44078	4114
020305	Piedras Gordas	0203	La Pintada	02	Coclé	Provincia	8.69193	-80.53322	4713
020306	Las Lomas	0203	La Pintada	02	Coclé	Provincia	8.61358	-80.65050	2350
020307	Llano Norte	0203	La Pintada	02	Coclé	Provincia	8.81646	-80.48448	4822
020401	Natá	0204	Natá	02	Coclé	Provincia	8.31384	-80.47904	6317
020402	Capellanía	0204	Natá	02	Coclé	Provincia	8.29664	-80.55081	2967
020403	El Caño	0204	Natá	02	Coclé	Provincia	8.44118	-80.54120	3440
020404	Guzmán	0204	Natá	02	Coclé	Provincia	8.54228	-80.59003	978
020405	Las Huacas	0204	Natá	02	Coclé	Provincia	8.49189	-80.76361	1581
020406	Toza	0204	Natá	02	Coclé	Provincia	8.36540	-80.63232	2437
020407	Villarreal	0204	Natá	02	Coclé	Provincia	8.32331	-80.63480	2021
020501	Olá	0205	Olá	02	Coclé	Provincia	8.46533	-80.66081	1472
020502	El Copé	0205	Olá	02	Coclé	Provincia	8.47056	-80.70775	1503
020503	El Palmar	0205	Olá	02	Coclé	Provincia	8.57017	-80.71302	1296
020504	El Picacho	0205	Olá	02	Coclé	Provincia	8.39079	-80.64082	346
020505	La Pava	0205	Olá	02	Coclé	Provincia	8.46955	-80.61052	1683
020601	Penonomé	0206	Penonomé	02	Coclé	Provincia	8.52709	-80.35858	25836
020602	Cañaveral	0206	Penonomé	02	Coclé	Provincia	8.52152	-80.41629	9324
020603	Coclé	0206	Penonomé	02	Coclé	Provincia	8.40680	-80.42256	5811
020604	Chiguirí Arriba	0206	Penonomé	02	Coclé	Provincia	8.67499	-80.17255	7185
020605	El Coco	0206	Penonomé	02	Coclé	Provincia	8.41252	-80.35401	11064
020606	Pajonal	0206	Penonomé	02	Coclé	Provincia	8.60975	-80.21980	7678
020607	Río Grande	0206	Penonomé	02	Coclé	Provincia	8.44701	-80.47618	3505
020608	Río Indio	0206	Penonomé	02	Coclé	Provincia	8.91276	-80.20292	4026
020609	San Miguel	0206	Penonomé	02	Coclé	Provincia	8.79091	-80.28442	7440
020610	Tulú	0206	Penonomé	02	Coclé	Provincia	8.78452	-80.39450	2241
020611	Candelario Ovalle	0206	Penonomé	02	Coclé	Provincia	8.74905	-80.18100	2090
020612	Las Minas	0206	Penonomé	02	Coclé	Provincia	8.61805	-80.38002	3615
020613	Reicito	0206	Penonomé	02	Coclé	Provincia	8.88972	-80.28627	8496
020614	Toabré	0206	Penonomé	02	Coclé	Provincia	8.68497	-80.28977	2662
020615	Tucue	0206	Penonomé	02	Coclé	Provincia	8.78402	-80.34070	1315
020616	Victoriano Lorenzo	0206	Penonomé	02	Coclé	Provincia	8.57714	-80.28520	2038
030101	Barrio Norte	0301	Colón	03	Colón	Provincia	9.36167	-79.90033	12320
030102	Barrio Sur	0301	Colón	03	Colón	Provincia	9.35500	-79.89567	6463
030103	Buena Vista	0301	Colón	03	Colón	Provincia	9.28350	-79.68631	19221
030104	Cativá	0301	Colón	03	Colón	Provincia	9.36120	-79.82959	37000
030105	Ciricito	0301	Colón	03	Colón	Provincia	9.05498	-80.08019	3174
030106	Cristóbal	0301	Colón	03	Colón	Provincia	9.20351	-79.88064	10466
030107	Escobal	0301	Colón	03	Colón	Provincia	9.01750	-79.99814	2293
030108	Limón	0301	Colón	03	Colón	Provincia	9.25682	-79.74826	5546
030109	Nueva Providencia	0301	Colón	03	Colón	Provincia	9.29628	-79.80205	8734
030110	Puerto Pilón	0301	Colón	03	Colón	Provincia	9.35625	-79.75173	18285
030111	Sabanitas	0301	Colón	03	Colón	Provincia	9.33569	-79.79959	23630
030112	Salamanca	0301	Colón	03	Colón	Provincia	9.37921	-79.60237	5043
030113	San Juan	0301	Colón	03	Colón	Provincia	9.24106	-79.63637	22499
030114	Santa Rosa	0301	Colón	03	Colón	Provincia	9.20480	-79.68041	1232
030115	Cristóbal Este	0301	Colón	03	Colón	Provincia	9.36706	-79.86689	64816
030201	Nuevo Chagres	0302	Chagres	03	Colón	Provincia	9.24480	-80.07198	567
030202	Achiote	0302	Chagres	03	Colón	Provincia	9.20437	-80.02924	938
030203	El Guabo	0302	Chagres	03	Colón	Provincia	9.11224	-80.07911	1553
030204	La Encantada	0302	Chagres	03	Colón	Provincia	9.04317	-80.15223	2333
030205	Palmas Bellas	0302	Chagres	03	Colón	Provincia	9.18137	-80.08417	2151
030206	Piña	0302	Chagres	03	Colón	Provincia	9.26267	-80.02619	888
030207	Salud	0302	Chagres	03	Colón	Provincia	9.14618	-80.14134	2538
030301	Miguel de La Borda	0303	Donoso	03	Colón	Provincia	9.09324	-80.37536	2408
030302	Coclé del Norte	0303	Donoso	03	Colón	Provincia	8.91059	-80.63847	4301
030303	El Guásimo	0303	Donoso	03	Colón	Provincia	9.00055	-80.33319	3494
030304	Gobea	0303	Donoso	03	Colón	Provincia	9.13090	-80.22969	927
030305	Río Indio	0303	Donoso	03	Colón	Provincia	9.08743	-80.20758	1144
030401	Portobelo	0304	Portobelo	03	Colón	Provincia	9.50120	-79.63079	4910
030402	Cacique	0304	Portobelo	03	Colón	Provincia	9.59638	-79.63005	308
030403	Puerto Lindo o Garrote	0304	Portobelo	03	Colón	Provincia	9.58414	-79.58341	1011
030404	Isla Grande	0304	Portobelo	03	Colón	Provincia	9.59533	-79.54854	988
030405	María Chiquita	0304	Portobelo	03	Colón	Provincia	9.40730	-79.71862	3103
030501	Palenque	0305	Santa Isabel	03	Colón	Provincia	9.49059	-79.37508	508
030502	Cuango	0305	Santa Isabel	03	Colón	Provincia	9.51701	-79.32154	624
030503	Miramar	0305	Santa Isabel	03	Colón	Provincia	9.55921	-79.33977	389
030504	Nombre de Dios	0305	Santa Isabel	03	Colón	Provincia	9.54126	-79.48048	1127
030505	Palmira	0305	Santa Isabel	03	Colón	Provincia	9.45251	-79.21874	404
030506	Playa Chiquita	0305	Santa Isabel	03	Colón	Provincia	9.47459	-79.30147	196
030507	Santa Isabel	0305	Santa Isabel	03	Colón	Provincia	9.50214	-79.13809	276
030508	Viento Frío	0305	Santa Isabel	03	Colón	Provincia	9.54312	-79.40099	587
030601	San José  del General	0306	Omar Torrijos Herrera	03	Colón	Provincia	8.87161	-80.56603	1865
030602	Nueva Esperanza	0306	Omar Torrijos Herrera	03	Colón	Provincia	8.88974	-80.61137	889
030603	San Juan de Turbe	0306	Omar Torrijos Herrera	03	Colón	Provincia	8.80934	-80.62576	807
040101	Alanje	0401	Alanje	04	Chiriquí	Provincia	8.40303	-82.55982	3186
