06007|06700
06014|06084
06021|06112
06140|06077
06154|06609
06161|06728
06168|06238
06189|06196
06231|06105
06277|06392
06287|06707
06294|06413
06308|06238
06322|06203
06329|06525
06336|06420
06343|06119
06351|06469
06399|06203
06406|06105
06448|06595
06462|06413
06466|06218
06476|06581
06511|06315
06553|06182
06574|06483
06616|06826
06630|06301
06651|06700
06655|06505
06672|06455
06679|06826
06693|06483
06721|06826
06742|06581
06784|06532
06798|06049
06812|06238
06819|06056
06847|06826
10007|10049
10014|10112
10021|10035
10028|10035
10042|10112
10056|10112
10063|10049
10077|10049
10084|10049
10098|10049
14070|14028
14077|14126
14112|14168
14154|14049
14175|14168
18014|18140
18042|18126
18056|18168
18063|18140
18077|18140
18098|18028
18133|18021
18147|18105
18154|18084
18175|18049
22039|22036
22043|22036
22049|22105
22056|22014
22077|22140
22119|22168
22126|22014
22147|22112
22154|22084
22161|22140
26028|26021
26042|26077
26049|26014
26056|26035
26063|26021
26070|26021
26084|26021
26091|26021
26098|26035
26105|26007
30042|30028
30063|30056
34007|34035
34021|34014
34028|34035
34042|34049
34063|34035
38007|38028
38049|38112
38056|38021
38077|38112
38084|38028
38094|38028
38098|38021
38105|38035
42007|42021
42014|42021
42028|42021
42035|42021
42042|42021
42049|42021
42056|42105
42063|42021
42070|42021
42077|42021
42084|42021
42091|42021
42098|42021
42112|42021
42119|42105
42126|42105
42133|42105
42140|42021
42147|42105
42154|42021
46007|46014
46021|46042
46028|46042
46035|46014
46049|46042
46056|46014
46063|46014
46070|46014
46077|46042
46084|46014
46091|46014
46098|46042
46105|46042
46112|46014
46119|46042
46126|46042
50042|50084
50112|50084
54035|54007
58007|58049
58014|58035
58021|58049
58028|58056
58042|58091
58063|58112
58070|58056
58077|58091
58084|58091
58098|58112
58105|58112
62028|62007
62035|62042
62049|62077
62056|62021
62063|62014
62070|62021
62084|62077
62091|62021
66014|66042
66021|66042
66063|66042
66070|66126
66077|66028
66084|66140
66091|66147
66098|66042
66105|66147
66119|66042
66154|66042
66161|66056
70014|70007
70021|70084
70049|70056
70063|70077
70091|70098
70112|70007
70119|70035
70133|70084
74014|74007
74021|74028
74042|74035
74063|74049
78007|78021
78035|78014
78042|78014
78049|78028
86007|86077
86021|86105
86042|86077
86084|86049
86091|86035
86112|86077
86126|86105
86140|86028
86154|86077
86168|86028
86175|86161
86182|86161
86189|86049
90035|90091
94011|94015
94028|94015
060007|060700
060014|060084
060021|060112
060140|060077
060154|060609
060161|060728
060168|060238
060189|060196
060231|060105
060277|060392
060287|060707
060294|060413
060308|060238
060322|060203
060329|060525
060336|060420
060343|060119
060351|060469
060399|060203
060406|060105
060448|060595
060462|060413
060466|060218
060476|060581
060511|060315
060553|060182
060574|060483
060616|060826
060630|060301
060651|060700
060655|060505
060672|060455
060679|060826
060693|060483
060721|060826
060742|060581
060784|060532
060798|060049
060812|060238
060819|060056
060847|060826
100007|100140
100014|100140
100021|100140
100028|100140
100035|100238
100042|100140
100049|100140
100056|100210
100063|100140
100070|100210
100077|100210
100084|100140
100091|100210
100098|100210
100105|100210
100112|100210
100119|100210
100126|100238
100133|100238
100147|100238
100154|100238
100161|100140
100168|100238
100175|100238
100182|100140
100185|100140
100189|100140
100196|100140
100203|100210
100213|100140
100217|100140
100224|100210
100231|100140
140007|141491
140014|141491
140021|141491
140028|141491
140035|141491
140042|141491
140049|141372
140056|141491
140063|141491
140070|141155
140084|140147
140098|140091
140102|140091
140105|140168
140126|140112
140133|140077
140140|140175
140143|140077
140154|140175
140161|140147
140185|140182
140189|140182
140196|140182
140203|140182
140210|140630
140217|140630
140224|140630
140231|140630
140238|140630
140245|140630
140252|140630
140259|140630
140266|140357
140273|140364
140280|140364
140287|140364
140294|140364
140301|140364
140308|140364
140315|140357
140322|140364
140329|140364
140336|140357
140343|140364
140350|140357
140378|140371
140385|140861
140392|140861
140399|140861
140406|140861
140413|140861
140420|140364
140427|140630
140434|140630
140441|140630
140448|140861
140455|140861
140462|141610
140469|140364
140476|140630
140483|140630
140490|140581
140497|140581
140504|140581
140511|140581
140518|140581
140525|140581
140532|140581
140539|140581
140546|140581
140553|140581
140560|140581
