01001,01001
1001,1001
01002,01002
1002,1002
01003,01003
1003,1003
01004,01007
1004,1007
01005,01005
1005,1005
01006,01006
1006,1006
01007,01007
1007,1007
01008,01007
1008,1007
01009,01009
1009,1009
01010,01010
1010,1010
01011,01011
1011,1011
02001,02001
2001,2001
02002,02002
2002,2002
02003,02003
2003,2003
02004,02004
2004,2004
02005,02005
2005,2005
02006,02006
2006,2006
03001,03001
3001,3001
03002,03002
3002,3002
03003,03003
3003,3003
03008,03008
3008,3008
03009,03001
3009,3001
04001,04001
4001,4001
04002,04002
4002,4002
04003,04003
4003,4003
04004,04004
4004,4004
04005,04005
4005,4005
04006,04006
4006,4006
04007,04003
4007,4003
04008,04005
4008,4005
04009,04009
4009,4009
04010,04010
4010,4010
04011,04011
4011,4011
04012,04002
4012,4002
05001,05031
5001,5031
05002,05002
5002,5002
05003,05003
5003,5003
05004,05004
5004,5004
05005,05018
5005,5018
05006,05006
5006,5006
05007,05010
5007,5010
05008,05031
5008,5031
05009,05009
5009,5009
05010,05010
5010,5010
05011,05030
5011,5030
05012,05022
5012,5022
05013,05022
5013,5022
05014,05002
5014,5002
05015,05028
5015,5028
05016,05031
5016,5031
05017,05017
5017,5017
05018,05018
5018,5018
05019,05003
5019,5003
05020,05020
5020,5020
05021,05031
5021,5031
05022,05022
5022,5022
05023,05031
5023,5031
05024,05024
5024,5024
05025,05025
5025,5025
05026,05028
5026,5028
05027,05027
5027,5027
05028,05028
5028,5028
05029,05031
5029,5031
05030,05030
5030,5030
05031,05031
5031,5031
05032,05032
5032,5032
05033,05033
5033,5033
05034,05009
5034,5009
05035,05035
5035,5035
05036,05036
5036,5036
05037,05003
5037,5003
05038,05022
5038,5022
06001,06001
6001,6001
06002,06002
6002,6002
06003,06003
6003,6003
06004,06004
6004,6004
06005,06005
6005,6005
06006,06004
6006,6004
06007,06007
6007,6007
06008,06007
6008,6007
06009,06009
6009,6009
06010,06010
6010,6010
07001,07032
7001,7032
07002,07002
7002,7002
07003,07003
7003,7003
07004,07004
7004,7004
07005,07005
7005,7005
07006,07006
7006,7006
07007,07094
7007,7094
07008,07008
7008,7008
07009,07009
7009,7009
07010,07006
7010,7006
07011,07011
7011,7011
07012,07012
7012,7012
07013,07013
7013,7013
07014,07014
7014,7014
07015,07015
7015,7015
07016,07077
7016,7077
07017,07017
7017,7017
07018,07021
7018,7021
07019,07019
7019,7019
07020,07020
7020,7020
07021,07021
7021,7021
07022,07022
7022,7022
07023,07023
7023,7023
07024,07064
7024,7064
07025,07068
7025,7068
07026,07026
7026,7026
07027,07027
7027,7027
07028,07002
7028,7002
07029,07079
7029,7079
07030,07030
7030,7030
07031,07031
7031,7031
07032,07032
7032,7032
07033,07092
7033,7092
07034,07034
7034,7034
07035,07087
7035,7087
07036,07011
7036,7011
07037,07037
7037,7037
07038,07038
7038,7038
07039,07039
7039,7039
07040,07040
7040,7040
07041,07041
7041,7041
07042,07068
7042,7068
07043,07068
7043,7068
07044,07044
7044,7044
07045,07068
7045,7068
07046,07046
7046,7046
07047,07047
7047,7047
07048,07048
7048,7048
07049,07049
7049,7049
07050,07065
7050,7065
07051,07051
7051,7051
07052,07052
7052,7052
07053,07057
7053,7057
07054,07054
7054,7054
07055,07089
7055,7089
07056,07026
7056,7026
07057,07057
7057,7057
07058,07106
7058,7106
07059,07059
7059,7059
07060,07021
7060,7021
07061,07061
7061,7061
07062,07068
7062,7068
07063,07079
7063,7079
07064,07064
7064,7064
07065,07065
7065,7065
07066,07066
7066,7066
07067,07021
7067,7021
07068,07068
7068,7068
07069,07069
7069,7069
07070,07057
7070,7057
07071,07071
7071,7071
07072,07072
7072,7072
07073,07021
7073,7021
07074,07074
7074,7074
07075,07075
7075,7075
07076,07076
7076,7076
07077,07077
7077,7077
07078,07078
7078,7078
07079,07079
7079,7079
07080,07080
7080,7080
07081,07081
7081,7081
07082,07031
7082,7031
07083,07075
7083,7075
07084,07068
7084,7068
07085,07044
7085,7044
07086,07086
7086,7086
07087,07087
7087,7087
07088,07068
7088,7068
07089,07089
7089,7089
07090,07021
7090,7021
07091,07021
7091,7021
07092,07092
7092,7092
07093,07093
7093,7093
07094,07094
7094,7094
07096,07096
7096,7096
07097,07097
7097,7097
07098,07002
7098,7002
07099,07099
7099,7099
07100,07100
7100,7100
07101,07101
7101,7101
07102,07102
7102,7102
07103,07103
7103,7103
07104,07019
7104,7019
07105,07037
7105,7037
07106,07106
7106,7106
07107,07107
7107,7107
07108,07108
7108,7108
07109,07109
7109,7109
07110,07002
7110,7002
07111,07111
7111,7111
07112,07112
7112,7112
07113,07049
7113,7049
07114,07114
7114,7114
07115,07052
7115,7052
07116,07114
7116,7114
07117,07008
7117,7008
07118,07047
7118,7047
07119,07049
7119,7049
07120,07032
7120,7032
07121,07072
7121,7072
07122,07086
7122,7086
07123,07002
7123,7002
07124,07124
7124,7124
07125,07080
7125,7080
08001,08037
8001,8037
08002,08002
8002,8002
08003,08032
8003,8032
08004,08004
8004,8004
08005,08005
8005,8005
08006,08031
8006,8031
08007,08029
8007,8029
08008,08009
8008,8009
08009,08009
8009,8009
08010,08010
8010,8010
08011,08011
8011,8011
08012,08009
8012,8009
08013,08050
8013,8050
08014,08032
8014,8032
08015,08052
8015,8052
08016,08011
8016,8011
08017,08017
8017,8017
08018,08017
8018,8017
08019,08019
8019,8019
08020,08009
8020,8009
08021,08021
8021,8021
08022,08017
8022,8017
08023,08050
8023,8050
08024,08019
8024,8019
08025,08048
8025,8048
08026,08017
8026,8017
08027,08027
8027,8027
08028,08037
8028,8037
08029,08029
8029,8029
08030,08009
8030,8009
08031,08031
8031,8031
08032,08032
8032,8032
08033,08032
8033,8032
08034,08010
8034,8010
08035,08050
8035,8050
08036,08036
8036,8036
08037,08037
8037,8037
08038,08045
8038,8045
08039,08036
8039,8036
08040,08040
8040,8040
08041,08009
8041,8009
08042,08052
8042,8052
08043,08031
8043,8031
08044,08032
8044,8032
08045,08045
8045,8045
08046,08027
8046,8027
08047,08031
8047,8031
08048,08048
8048,8048
08049,08009
8049,8009
08050,08050
8050,8050
08051,08031
8051,8031
08052,08052
8052,8052
08053,08037
8053,8037
08054,08017
8054,8017
08055,08021
8055,8021
08056,08032
8056,8032
08057,08017
8057,8017
08058,08011
8058,8011
08059,08032
8059,8032
08060,08032
8060,8032
08061,08017
8061,8017
08062,08062
8062,8062
08063,08031
8063,8031
08064,08032
8064,8032
08065,08009
8065,8009
08066,08009
8066,8009
08067,08011
8067,8011
09002,09002
9002,9002
09003,09003
9003,9003
09004,09004
9004,9004
09005,09005
9005,9005
09006,09006
9006,9006
09007,09007
