0BS0,BS8
0BT0,BT6
0BU0,BU4
0BV0,BV2
0BW0,BW0
0BX0,BX9
0BY0,BY7
0BZ0,BZ5
0C00,C08
0C10,C16
0C20,C24
0C30,C32
0C40,C40
0C50,C59
0C60,C67
0C70,C75
0C80,C83
0C90,C91
0CA0,CAA
0CB0,CB8
0CC0,CC6
0CD0,CD4
0CE0,CE2
0CF0,CF0
0CG0,CG9
0CH0,CH7
0CI0,CI5
0CJ0,CJ3
0CK0,CK1
0CL0,CLA
0CM0,CM8
0CN0,CN6
0CO0,CO2
0CP0,CP0
0CQ0,CQ9
0CR0,CR7
0CS0,CS5
0CT0,CT3
0CU0,CU1
0CV0,CVA
0CW0,CW8
0CX0,CX6
0CY0,CY4
0CZ0,CZ2
0D00,D05
0D10,D13
0D20,D21
0D30,D3A
0D40,D48
0D50,D56
0D60,D64
0D70,D72
0D80,D80
0D90,D99
0DA0,DA7
0DB0,DB5
0DC0,DC3
0DD0,DD1
0DE0,DEA
0DF0,DF8
0DG0,DG6
0DH0,DH4
0DI0,DI2
0DJ0,DJ0
0DK0,DK9
0DL0,DL7
0DM0,DM5
0DN0,DN3
0DO0,DOA
0DP0,DP8
0DQ0,DQ6
0DR0,DR4
0DS0,DS2
0DT0,DT0
0DU0,DU9
0DV0,DV7
0DW0,DW5
0DX0,DX3
0DY0,DY1
0DZ0,DZA
0E00,E02
0E10,E10
0E20,E29
0E30,E37
0E40,E45
0E50,E53
0E60,E61
0E70,E7A
0E80,E88
0E90,E96
0EA0,EA4
0EB0,EB2
0EC0,EC0
0ED0,ED9
0EE0,EE7
0EF0,EF5
0EG0,EG3
0EH0,EH1
0EI0,EIA
0EJ0,EJ8
0EK0,EK6
0EL0,EL4
0EM0,EM2
0EN0,EN0
0EO0,EO7
0EP0,EP5
0EQ0,EQ3
0ER0,ER1
0ES0,ESA
0ET0,ET8
0EU0,EU6
0EV0,EV4
0EW0,EW2
0EX0,EX0
0EY0,EY9
0EZ0,EZ7
0F00,F0A
0F10,F18
0F20,F26
0F30,F34
0F40,F42
0F50,F50
0F60,F69
0F70,F77
0F80,F85
0F90,F93
0FA0,FA1
0FB0,FBA
0FC0,FC8
0FD0,FD6
0FE0,FE4
0FF0,FF2
0FG0,FG0
0FH0,FH9
0FI0,FI7
0FJ0,FJ5
0FK0,FK3
0FL0,FL1
0FM0,FMA
0FN0,FN8
0FO0,FO4
0FP0,FP2
0FQ0,FQ0
0FR0,FR9
0FS0,FS7
0FT0,FT5
0FU0,FU3
0FV0,FV1
0FW0,FWA
0FX0,FX8
0FY0,FY6
0FZ0,FZ4
0G00,G07
0G10,G15
0G20,G23
0G30,G31
0G40,G4A
0G50,G58
0G60,G66
0G70,G74
0G80,G82
0G90,G90
0GA0,GA9
0GB0,GB7
0GC0,GC5
0GD0,GD3
0GE0,GE1
0GF0,GFA
0GG0,GG8
0GH0,GH6
0GI0,GI4
0GJ0,GJ2
0GK0,GK0
0GL0,GL9
0GM0,GM7
0GN0,GN5
0GO0,GO1
0GP0,GPA
0GQ0,GQ8
0GR0,GR6
0GS0,GS4
0GT0,GT2
0GU0,GU0
0GV0,GV9
0GW0,GW7
0GX0,GX5
0GY0,GY3
0GZ0,GZ1
0H00,H04
0H10,H12
0H20,H20
0H30,H39
0H40,H47
0H50,H55
0H60,H63
0H70,H71
0H80,H8A
0H90,H98
0HA0,HA6
0HB0,HB4
0HC0,HC2
0HD0,HD0
0HE0,HE9
0HF0,HF7
0HG0,HG5
0HH0,HH3
0HI0,HI1
0HJ0,HJA
0HK0,HK8
0HL0,HL6
0HM0,HM4
0HN0,HN2
0HO0,HO9
0HP0,HP7
0HQ0,HQ5
0HR0,HR3
0HS0,HS1
0HT0,HTA
0HU0,HU8
0HV0,HV6
0HW0,HW4
0HX0,HX2
0HY0,HY0
0HZ0,HZ9
0I00,I01
0I10,I1A
0I20,I28
0I30,I36
0I40,I44
0I50,I52
0I60,I60
0I70,I79
0I80,I87
0I90,I95
0IA0,IA3
0IB0,IB1
0IC0,ICA
0ID0,ID8
0IE0,IE6
0IF0,IF4
0IG0,IG2
0IH0,IH0
0II0,II9
0IJ0,IJ7
0IK0,IK5
0IL0,IL3
0IM0,IM1
0IN0,INA
0IO0,IO6
0IP0,IP4
0IQ0,IQ2
0IR0,IR0
0IS0,IS9
0IT0,IT7
0IU0,IU5
0IV0,IV3
0IW0,IW1
0IX0,IXA
0IY0,IY8
0IZ0,IZ6
0J00,J09
0J10,J17
0J20,J25
0J30,J33
0J40,J41
0J50,J5A
0J60,J68
0J70,J76
0J80,J84
0J90,J92
0JA0,JA0
0JB0,JB9
0JC0,JC7
0JD0,JD5
0JE0,JE3
0JF0,JF1
0JG0,JGA
0JH0,JH8
0JI0,JI6
0JJ0,JJ4
0JK0,JK2
0JL0,JL0
0JM0,JM9
0JN0,JN7
0JO0,JO3
0JP0,JP1
0JQ0,JQA
0JR0,JR8
0JS0,JS6
0JT0,JT4
0JU0,JU2
0JV0,JV0
0JW0,JW9
0JX0,JX7
0JY0,JY5
0JZ0,JZ3
0K00,K06
0K10,K14
0K20,K22
0K30,K30
0K40,K49
0K50,K57
0K60,K65
0K70,K73
0K80,K81
0K90,K9A
0KA0,KA8
0KB0,KB6
0KC0,KC4
0KD0,KD2
0KE0,KE0
0KF0,KF9
0KG0,KG7
0KH0,KH5
0KI0,KI3
0KJ0,KJ1
0KK0,KKA
0KL0,KL8
0KM0,KM6
0KN0,KN4
0KO0,KO0
0KP0,KP9
0KQ0,KQ7
0KR0,KR5
0KS0,KS3
0KT0,KT1
0KU0,KUA
0KV0,KV8
0KW0,KW6
0KX0,KX4
0KY0,KY2
0KZ0,KZ0
0L00,L03
0L10,L11
