00,000
01,013
02,026
03,039
04,041
05,054
06,067
07,07A
08,082
09,095
10,102
11,115
12,128
13,130
14,143
15,156
16,169
17,171
18,184
19,197
20,204
21,217
22,22A
23,232
24,245
25,258
26,260
27,273
28,286
29,299
30,306
31,319
32,321
33,334
34,347
35,35A
36,362
37,375
38,388
39,390
40,408
41,410
42,423
43,436
44,449
45,451
46,464
47,477
48,48A
49,492
50,50A
51,512
52,525
53,538
54,540
55,553
56,566
57,579
58,581
59,594
60,601
61,614
62,627
63,63A
64,642
65,655
66,668
67,670
68,683
69,696
70,703
71,716
72,729
73,731
74,744
75,757
76,76A
77,772
78,785
79,798
80,805
81,818
82,820
83,833
84,846
85,859
86,861
87,874
88,887
89,89A
90,907
91,91A
92,922
93,935
94,948
95,950
96,963
97,976
98,989
99,991
