000000,00000
010000,10006
020000,20001
030000,30007
040000,40002
050000,50008
060000,60003
070000,70009
080000,80004
090000,90018
100000,00018
110000,10005
120000,20000
130000,30006
140000,40001
150000,50007
160000,60002
170000,70008
180000,80003
190000,90009
200000,00009
210000,10004
220000,20018
230000,30005
240000,40000
250000,50006
260000,60001
270000,70007
280000,80002
290000,90008
300000,00008
310000,10003
320000,20009
330000,30004
340000,40018
350000,50005
360000,60000
370000,70006
380000,80001
390000,90007
400000,00007
410000,10002
420000,20008
430000,30003
440000,40009
450000,50004
460000,60018
470000,70005
480000,80000
490000,90006
500000,00006
510000,10001
520000,20007
530000,30002
540000,40008
550000,50003
560000,60009
570000,70004
580000,80018
590000,90005
600000,00005
610000,10000
620000,20006
630000,30001
640000,40007
650000,50002
660000,60008
670000,70003
680000,80009
690000,90004
700000,00004
710000,10018
720000,20005
730000,30000
740000,40006
750000,50001
760000,60007
770000,70002
780000,80008
790000,90003
800000,00003
810000,10009
820000,20004
830000,30018
840000,40005
850000,50000
860000,60006
870000,70001
880000,80007
890000,90002
900000,00002
910000,10008
920000,20003
930000,30009
940000,40004
950000,50018
960000,60005
970000,70000
980000,80006
990000,90001
A00000,00001
A10000,10007
A20000,20002
A30000,30008
A40000,40003
A50000,50009
A60000,60004
A70000,70018
A80000,80005
A90000,90000
