06202	La Estrella	Cardenal Caro	Lib. Gral. Bernardo O'Higgins	4821
06203	Litueche	Cardenal Caro	Lib. Gral. Bernardo O'Higgins	5591
06204	Marchigüe	Cardenal Caro	Lib. Gral. Bernardo O'Higgins	7557
06205	Navidad	Cardenal Caro	Lib. Gral. Bernardo O'Higgins	5650
06206	Paredones	Cardenal Caro	Lib. Gral. Bernardo O'Higgins	6802
06301	San Fernando	Colchagua	Lib. Gral. Bernardo O'Higgins	75221
06302	Chépica	Colchagua	Lib. Gral. Bernardo O'Higgins	15820
06303	Chimbarongo	Colchagua	Lib. Gral. Bernardo O'Higgins	35664
06304	Lolol	Colchagua	Lib. Gral. Bernardo O'Higgins	6630
06305	Nancagua	Colchagua	Lib. Gral. Bernardo O'Higgins	18921
06306	Palmilla	Colchagua	Lib. Gral. Bernardo O'Higgins	12373
06307	Peralillo	Colchagua	Lib. Gral. Bernardo O'Higgins	10933
06308	Placilla	Colchagua	Lib. Gral. Bernardo O'Higgins	9624
06309	Pumanque	Colchagua	Lib. Gral. Bernardo O'Higgins	3458
06310	Santa Cruz	Colchagua	Lib. Gral. Bernardo O'Higgins	35255
07101	Talca	Talca	Maule	264842
07102	Constitución	Talca	Maule	41416
07103	Curepto	Talca	Maule	9714
07104	Empedrado	Talca	Maule	4250
07105	Maule	Talca	Maule	21957
07106	Pelarco	Talca	Maule	7959
07107	Pencahue	Talca	Maule	9187
07108	Río Claro	Talca	Maule	13020
07109	San Clemente	Talca	Maule	39554
07110	San Rafael	Talca	Maule	8512
07201	Cauquenes	Cauquenes	Maule	40245
07202	Chanco	Cauquenes	Maule	9571
07203	Pelluhue	Cauquenes	Maule	6636
07301	Curicó	Curicó	Maule	177766
07302	Hualañé	Curicó	Maule	9977
07303	Licantén	Curicó	Maule	6689
07304	Molina	Curicó	Maule	40329
07305	Rauco	Curicó	Maule	9878
07306	Romeral	Curicó	Maule	14460
07307	Sagrada Familia	Curicó	Maule	17839
07308	Teno	Curicó	Maule	28228
07309	Vichuquén	Curicó	Maule	4335
07401	Linares	Linares	Maule	107311
07402	Colbún	Linares	Maule	19361
07403	Longaví	Linares	Maule	28968
07404	Parral	Linares	Maule	39404
07405	Retiro	Linares	Maule	18760
07406	San Javier	Linares	Maule	40881
07407	Villa Alegre	Linares	Maule	15428
07408	Yerbas Buenas	Linares	Maule	17158
16101	Chillán	Diguillín	Ñuble	175585
16102	Bulnes	Diguillín	Ñuble	21542
16103	Chillán Viejo	Diguillín	Ñuble	29199
16104	El Carmen	Diguillín	Ñuble	11830
16105	Pemuco	Diguillín	Ñuble	9120
16106	Pinto	Diguillín	Ñuble	10883
16107	Quillón	Diguillín	Ñuble	15525
16108	San Ignacio	Diguillín	Ñuble	15770
16109	Yungay	Diguillín	Ñuble	18234
16201	Quirihue	Itata	Ñuble	11851
16202	Cobquecura	Itata	Ñuble	5173
16203	Coelemu	Itata	Ñuble	15461
16204	Ninhue	Itata	Ñuble	5278
16205	Portezuelo	Itata	Ñuble	5061
16206	Ránquil	Itata	Ñuble	4983
16207	Treguaco	Itata	Ñuble	4995
16301	San Carlos	Punilla	Ñuble	51335
16302	Coihueco	Punilla	Ñuble	24714
16303	Ñiquén	Punilla	Ñuble	10063
16304	San Fabián	Punilla	Ñuble	3503
16305	San Nicolás	Punilla	Ñuble	10051
08101	Concepción	Concepción	Biobío	227768
08102	Coronel	Concepción	Biobío	107508
08103	Chiguayante	Concepción	Biobío	115366
08104	Florida	Concepción	Biobío	9867
08105	Hualqui	Concepción	Biobío	21934
08106	Lota	Concepción	Biobío	48045
08107	Penco	Concepción	Biobío	52389
08108	San Pedro de La Paz	Concepción	Biobío	94827
08109	Santa Juana	Concepción	Biobío	13331
08110	Talcahuano	Concepción	Biobío	171673
08111	Tomé	Concepción	Biobío	54223
08112	Hualpén	Concepción	Biobío	86176
08201	Lebu	Arauco	Biobío	25790
08202	Arauco	Arauco	Biobío	41153
08203	Cañete	Arauco	Biobío	33535
08204	Contulmo	Arauco	Biobío	5188
08205	Curanilahue	Arauco	Biobío	33855
08206	Los Álamos	Arauco	Biobío	20723
08207	Tirúa	Arauco	Biobío	10859
08301	Los Ángeles	Biobío	Biobío	195813
08302	Antuco	Biobío	Biobío	3774
08303	Cabrero	Biobío	Biobío	29532
08304	Laja	Biobío	Biobío	20964
08305	Mulchén	Biobío	Biobío	28517
08306	Nacimiento	Biobío	Biobío	26145
08307	Negrete	Biobío	Biobío	8933
08308	Quilaco	Biobío	Biobío	3722
08309	Quilleco	Biobío	Biobío	10396
08310	San Rosendo	Biobío	Biobío	3627
08311	Santa Bárbara	Biobío	Biobío	14612
08312	Tucapel	Biobío	Biobío	13442
08313	Yumbel	Biobío	Biobío	20572
08314	Alto Biobío	Biobío	Biobío	10039
09101	Temuco	Cautín	La Araucanía	269992
09102	Carahue	Cautín	La Araucanía	25718
09103	Cunco	Cautín	La Araucanía	19024
09104	Curarrehue	Cautín	La Araucanía	7540
09105	Freire	Cautín	La Araucanía	27616
09106	Galvarino	Cautín	La Araucanía	11324
09107	Gorbea	Cautín	La Araucanía	15481
09108	Lautaro	Cautín	La Araucanía	35451
09109	Loncoche	Cautín	La Araucanía	22191
09110	Melipeuco	Cautín	La Araucanía	5451
09111	Nueva Imperial	Cautín	La Araucanía	32109
09112	Padre Las Casas	Cautín	La Araucanía	72135
09113	Perquenco	Cautín	La Araucanía	6911
09114	Pitrufquén	Cautín	La Araucanía	23776
09115	Pucón	Cautín	La Araucanía	29987
09116	Saavedra	Cautín	La Araucanía	13481
09117	Teodoro Schmidt	Cautín	La Araucanía	15793
09118	Toltén	Cautín	La Araucanía	10403
09119	Vilcún	Cautín	La Araucanía	23823
09120	Villarrica	Cautín	La Araucanía	56178
09121	Cholchol	Cautín	La Araucanía	10825
09201	Angol	Malleco	La Araucanía	51136
09202	Collipulli	Malleco	La Araucanía	21705
09203	Curacautín	Malleco	La Araucanía	15728
09204	Ercilla	Malleco	La Araucanía	9148
09205	Lonquimay	Malleco	La Araucanía	11341
09206	Los Sauces	Malleco	La Araucanía	6490
09207	Lumaco	Malleco	La Araucanía	10479
09208	Purén	Malleco	La Araucanía	11789
09209	Renaico	Malleco	La Araucanía	9028
09210	Traiguén	Malleco	La Araucanía	18357
09211	Victoria	Malleco	La Araucanía	33127
14101	Valdivia	Valdivia	Los Ríos	163148
14102	Corral	Valdivia	Los Ríos	5084
14103	Lanco	Valdivia	Los Ríos	16663
14104	Los Lagos	Valdivia	Los Ríos	18733
14105	Máfil	Valdivia	Los Ríos	7006
14106	Mariquina	Valdivia	Los Ríos	19823
14107	Paillaco	Valdivia	Los Ríos	19898
14108	Panguipulli	Valdivia	Los Ríos	35185
14201	La Unión	Ranco	Los Ríos	38544
14202	Futrono	Ranco	Los Ríos	15811
14203	Lago Ranco	Ranco	Los Ríos	9380
14204	Río Bueno	Ranco	Los Ríos	31343
10101	Puerto Montt	Llanquihue	Los Lagos	248945
10102	Calbuco	Llanquihue	Los Lagos	34902
10103	Cochamó	Llanquihue	Los Lagos	4326
10104	Fresia	Llanquihue	Los Lagos	12454
10105	Frutillar	Llanquihue	Los Lagos	17756
