060357	General Pueyrredón	MU	06	Buenos Aires	-37.965683	-57.743028	667082	
060364	General Rodríguez	MU	06	Buenos Aires	-34.650616	-58.987847	142709	
060371	General San Martín	MU	06	Buenos Aires	-34.552754	-58.564304	450518	
060385	General Viamonte	MU	06	Buenos Aires	-34.997779	-61.049657	22649	
060392	General Villegas	MU	06	Buenos Aires	-34.770261	-62.954199	35251	
060399	Guaminí	MU	06	Buenos Aires	-36.890676	-62.418531	11801	
060406	Hipólito Yrigoyen	MU	06	Buenos Aires	-36.259189	-61.660188	10661	
060408	Hurlingham	MU	06	Buenos Aires	-34.599283	-58.649525	185641	
060410	Ituzaingó	MU	06	Buenos Aires	-34.636072	-58.68876	180232	
060412	José C. Paz	MU	06	Buenos Aires	-34.511853	-58.777635	326992	
060413	Junín	MU	06	Buenos Aires	-34.546475	-61.00525	103787	
060420	La Costa	MU	06	Buenos Aires	-36.697168	-56.71594	100689	
060427	La Matanza	MU	06	Buenos Aires	-34.770298	-58.625378	1841247	
060434	Lanús	MU	06	Buenos Aires	-34.705642	-58.394711	461267	
060441	La Plata	MU	06	Buenos Aires	-35.003847	-58.017778	768547	
060448	Laprida	MU	06	Buenos Aires	-37.516506	-60.768148	11646	
060455	Las Flores	MU	06	Buenos Aires	-36.015827	-59.176461	27239	
060462	Leandro N. Alem	MU	06	Buenos Aires	-34.498565	-61.612587	17266	
060466	Lezama	MU	06	Buenos Aires	-35.849208	-57.894844	6221	
060469	Lincoln	MU	06	Buenos Aires	-35.070448	-61.682458	45506	
060476	Lobería	MU	06	Buenos Aires	-38.090053	-58.69355	18243	
060483	Lobos	MU	06	Buenos Aires	-35.219586	-59.145742	41760	
060490	Lomas de Zamora	MU	06	Buenos Aires	-34.754972	-58.424093	690480	
060497	Luján	MU	06	Buenos Aires	-34.567322	-59.158456	111251	
060505	Magdalena	MU	06	Buenos Aires	-35.185103	-57.686128	26613	
060511	Maipú	MU	06	Buenos Aires	-36.886933	-57.586119	11323	
060515	Malvinas Argentinas	MU	06	Buenos Aires	-34.487311	-58.712137	350674	
060518	Mar Chiquita	MU	06	Buenos Aires	-37.498641	-57.643266	33110	
060525	Marcos Paz	MU	06	Buenos Aires	-34.814003	-58.847831	67011	
060532	Mercedes	MU	06	Buenos Aires	-34.697321	-59.420481	72980	
060539	Merlo	MU	06	Buenos Aires	-34.711003	-58.741958	582486	
060547	Monte	MU	06	Buenos Aires	-35.509827	-58.767236	24868	
