0907	Tayacaja	09	Huancavelica	-11.206993	-68.304203	81403
1001	Huánuco	10	Huánuco	-9.926560	-76.289509	293397
1002	Ambo	10	Huánuco	-10.202917	-76.268542	50880
1003	Dos de Mayo	10	Huánuco	-9.717747	-76.758210	33258
1004	Huacaybamba	10	Huánuco	-8.985694	-76.981736	16551
1005	Huamalíes	10	Huánuco	-9.404444	-76.749874	52039
1006	Leoncio Prado	10	Huánuco	-9.144611	-76.012972	127793
1007	Marañon	10	Huánuco	-8.695111	-76.755000	26622
1008	Pachitea	10	Huánuco	-9.879306	-75.989514	49159
1009	Puerto Inca	10	Huánuco	-9.276222	-74.962722	32538
1010	Lauricocha	10	Huánuco	-10.066111	-76.691587	18913
1011	Yarowilca	10	Huánuco	-9.832118	-76.621979	19897
1101	Ica	11	Ica	-14.090179	-75.694405	391519
1102	Chincha	11	Ica	-13.349697	-76.037374	226113
1103	Nazca	11	Ica	-14.868944	-75.065556	69157
1104	Palpa	11	Ica	-14.438889	-75.202167	13232
1105	Pisco	11	Ica	-13.711424	-76.064028	150744
1201	Huancayo	12	Junín	-12.101151	-75.209226	545615
1202	Concepción	12	Junín	-11.876000	-75.260574	55591
1203	Chanchamayo	12	Junín	-11.024954	-75.233333	151489
1204	Jauja	12	Junín	-11.767100	-75.488064	83257
1205	Junín	12	Junín	-11.033819	-76.020208	23133
1206	Satipo	12	Junín	-11.402932	-74.513086	203985
1207	Tarma	12	Junín	-11.356543	-75.685586	89590
1208	Yauli	12	Junín	-11.565056	-76.017639	40390
1209	Chupaca	12	Junín	-12.101605	-75.313642	52988
1301	Trujillo	13	La Libertad	-8.092449	-78.981364	970016
1302	Ascope	13	La Libertad	-7.795486	-79.242882	115786
1303	Bolívar	13	La Libertad	-7.232778	-77.755324	14457
1304	Chepén	13	La Libertad	-7.193796	-79.478333	78418
1305	Julcán	13	La Libertad	-8.137500	-78.480069	28024
1306	Otuzco	13	La Libertad	-7.890083	-78.572694	77862
1307	Pacasmayo	13	La Libertad	-7.350111	-79.515111	102897
1308	Pataz	13	La Libertad	-8.166709	-77.398269	76103
1309	Sánchez Carrión	13	La Libertad	-7.795243	-77.925208	144405
